City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,284.72,87,19,0.89,NZ,1719621422
1,bethel,41.3712,-73.414,293.35,67,96,0.45,US,1719621424
2,petropavlovsk-kamchatsky,53.0452,158.6483,289.48,55,75,4.0,RU,1719621426
3,port-aux-francais,-49.35,70.2167,275.03,75,31,18.65,TF,1719621427
4,broken hill,-31.95,141.4333,289.15,51,100,7.22,AU,1719621429
5,iqaluit,63.7506,-68.5145,281.0,61,75,3.09,CA,1719621431
6,enewetak,11.3474,162.3373,301.55,75,86,6.36,MH,1719621432
7,mar del plata,-38.0023,-57.5575,277.16,93,75,7.72,AR,1719621434
8,corinto,37.9407,22.9573,299.2,61,0,1.69,GR,1719621436
9,blackmans bay,-43.0167,147.3167,287.44,60,100,1.34,AU,1719621438
10,kone,-21.0595,164.8658,299.9,43,1,3.91,NC,1719621439
11,saldanha,-33.0117,17.9442,285.18,51,100,4.74,ZA,1719621441
12,stanley,54.868,-1.6985,284.97,83,99,3.37,GB,1719621443
13,mvomero,-6.25,38.6667,292.52,98,50,1.96,TZ,1719621444
