City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tabou,4.423,-7.3528,24.33,82,83,2.53,CI,1719641037
1,punta arenas,-53.15,-70.9167,-0.94,86,75,3.09,CL,1719641039
2,utrik,11.2278,169.8474,27.94,83,97,7.02,MH,1719641040
3,chernyshevskiy,63.0128,112.4714,28.79,40,54,2.02,RU,1719641042
4,port saint john's,-31.6229,29.5448,17.79,49,7,3.16,ZA,1719641044
5,san antonio de pale,-1.4014,5.6325,23.62,90,94,4.6,GQ,1719641046
6,port-aux-francais,-49.35,70.2167,1.28,78,76,18.63,TF,1719641048
7,port elizabeth,-33.918,25.5701,20.16,63,0,2.57,ZA,1719641049
8,olonkinbyen,70.9221,-8.7187,1.88,94,100,5.22,SJ,1719641051
9,georgetown,5.4112,100.3354,31.97,56,40,4.12,MY,1719641053
10,kodiak,57.79,-152.4072,9.76,92,100,1.47,US,1719641055
11,luderitz,-26.6481,15.1594,16.3,61,37,2.85,NA,1719641056
12,aykhal,66.0,111.5,25.95,50,76,10.96,RU,1719641058
13,saipan,15.1355,145.701,32.39,66,40,7.2,MP,1719641060
14,sandacho,34.8833,135.2333,28.13,59,100,3.17,JP,1719641062
15,invercargill,-46.4,168.35,8.9,83,53,0.45,NZ,1719641063
16,arraial do cabo,-22.9661,-42.0278,22.58,82,78,3.95,BR,1719641065
17,fortuna,40.5982,-124.1573,12.18,92,0,0.0,US,1719641067
18,afaahiti,-17.75,-149.2833,24.93,83,35,11.67,PF,1719641069
19,isafjordur,66.0755,-23.124,5.92,70,0,0.89,IS,1719641070
20,yellowknife,62.456,-114.3525,15.79,58,20,3.09,CA,1719640856
21,islampur,26.2667,88.2,32.72,66,91,4.35,IN,1719641074
22,adamstown,-25.066,-130.1015,19.26,71,100,12.36,PN,1719641077
23,luau,-10.7073,22.2247,15.25,52,1,2.59,AO,1719641079
24,rabo de peixe,37.8,-25.5833,19.73,99,75,2.06,PT,1719641080
25,taltal,-25.4,-70.4833,15.07,75,91,1.77,CL,1719640851
26,port mathurin,-19.6833,63.4167,22.51,66,83,9.51,MU,1719641084
27,waitangi,-43.9535,-176.5597,8.23,69,44,4.4,NZ,1719641085
28,papatowai,-46.5619,169.4708,7.29,87,50,1.87,NZ,1719641087
29,grytviken,-54.2811,-36.5092,-0.5,95,95,2.41,GS,1719641089
30,stanley,54.868,-1.6985,12.06,83,20,1.54,GB,1719641091
31,aasiaat,68.7098,-52.8699,2.86,88,100,6.88,GL,1719641092
32,sitka,57.0531,-135.33,14.94,72,75,0.0,US,1719641094
33,tyumentsevo,53.3224,81.498,30.22,48,94,2.22,RU,1719641096
34,zemio,5.0314,25.1361,23.34,83,91,0.73,CF,1719641098
35,juneau,58.3019,-134.4197,16.17,100,91,0.46,US,1719640986
36,san patricio,28.017,-97.5169,29.94,82,0,7.17,US,1719641101
37,albany,42.6001,-73.9662,18.74,60,100,0.45,US,1719640963
38,bodo,67.28,14.405,18.3,94,75,2.06,NO,1719641105
39,uturoa,-16.7333,-151.4333,26.64,77,3,11.48,PF,1719641107
40,kristiansund,63.1115,7.732,14.03,78,75,0.51,NO,1719641108
41,tsurugi-asahimachi,36.45,136.6333,29.62,70,49,3.39,JP,1719641110
42,edinburgh of the seven seas,-37.0676,-12.3116,14.21,89,64,6.19,SH,1719641112
